edad;h.extranjero;m.extranjero;h.interregional;m.interregional;h.intraprovincial;m.intraprovincial
0;0.00245408;0.00309674;0.01343067;0.01403737;0.01716427;0.01701299
1;0.00450149;0.00554743;0.01582547;0.01660461;0.02077888;0.02050395
2;0.01588286;0.01964366;0.01754680;0.01872716;0.02611917;0.02633068
3;0.01086944;0.01377383;0.01625494;0.01731525;0.02163912;0.02179334
4;0.01100994;0.01381849;0.01449500;0.01560754;0.01728783;0.01736614
5;0.01105896;0.01379913;0.01390432;0.01494847;0.01713353;0.01704064
6;0.01063348;0.01377959;0.01286087;0.01390642;0.01549403;0.01561473
7;0.00993698;0.01275933;0.01201176;0.01289456;0.01394940;0.01406692
8;0.00920327;0.01185029;0.01108316;0.01185152;0.01297235;0.01302578
9;0.00868239;0.01126585;0.01021289;0.01101457;0.01189908;0.01197151
10;0.00888029;0.01150146;0.00973161;0.01043828;0.01126360;0.01132905
11;0.00866367;0.01126836;0.00954963;0.01018437;0.01176624;0.01184030
12;0.00839676;0.01081702;0.00908787;0.00965301;0.01108142;0.01089935
13;0.00828124;0.01040523;0.00875094;0.00941965;0.01075460;0.01091382
14;0.00806640;0.01057990;0.00855551;0.00919584;0.01032086;0.01057210
15;0.00809720;0.01033289;0.00804293;0.00868734;0.00968269;0.00996795
16;0.00799755;0.01026984;0.00862547;0.00941241;0.00946785;0.00977340
17;0.00777730;0.00960887;0.00961619;0.01183642;0.00888587;0.00959423
18;0.00838960;0.00992035;0.01149045;0.01538275;0.01007485;0.01253184
19;0.00953468;0.01079627;0.01220652;0.01582558;0.00968987;0.01299263
20;0.01089389;0.01198189;0.01348456;0.01677551;0.01003063;0.01405504
21;0.01223471;0.01351085;0.01469961;0.01845241;0.01088237;0.01557611
22;0.01394773;0.01563186;0.01619754;0.02032522;0.01215982;0.01732243
23;0.01532712;0.01748972;0.01799928;0.02197641;0.01367033;0.01915907
24;0.01727830;0.01946933;0.01970484;0.02359811;0.01568080;0.02103686
25;0.01925420;0.02166380;0.02147174;0.02477624;0.01772738;0.02263738
26;0.02093238;0.02297350;0.02263833;0.02499594;0.01964322;0.02357702
27;0.02298335;0.02409148;0.02357950;0.02509549;0.02129574;0.02426868
28;0.02457715;0.02528459;0.02446145;0.02503490;0.02289558;0.02488163
29;0.02580182;0.02557188;0.02471578;0.02450233;0.02342844;0.02458800
30;0.02664634;0.02533795;0.02449860;0.02347404;0.02357318;0.02400849
31;0.02682684;0.02494187;0.02384483;0.02223774;0.02327883;0.02318778
32;0.02697734;0.02406445;0.02311682;0.02090973;0.02269179;0.02208751
33;0.02657258;0.02314933;0.02203052;0.01946374;0.02191399;0.02081278
34;0.02557781;0.02157610;0.02067954;0.01786804;0.02075687;0.01939527
35;0.02429456;0.02012104;0.01925004;0.01632678;0.01940756;0.01770769
36;0.02349003;0.01877958;0.01826678;0.01499482;0.01849200;0.01647226
37;0.02220935;0.01734265;0.01693721;0.01373933;0.01714987;0.01495626
38;0.02127667;0.01668473;0.01590865;0.01268233;0.01629116;0.01395781
39;0.02090140;0.01611663;0.01542512;0.01211515;0.01559745;0.01330838
40;0.02044092;0.01550920;0.01452501;0.01132863;0.01501045;0.01254218
41;0.01934470;0.01471506;0.01347601;0.01036750;0.01399422;0.01149530
42;0.01819720;0.01398832;0.01260388;0.00963471;0.01294622;0.01061950
43;0.01754823;0.01341298;0.01191834;0.00907837;0.01227579;0.00998574
44;0.01652653;0.01279309;0.01129507;0.00860843;0.01160666;0.00940604
45;0.01595424;0.01241125;0.01089295;0.00837706;0.01123170;0.00909269
46;0.01556754;0.01222432;0.01050143;0.00815766;0.01091878;0.00888122
47;0.01492229;0.01197774;0.01020573;0.00790718;0.01049287;0.00860769
48;0.01376289;0.01125339;0.00969755;0.00765982;0.00999463;0.00819472
49;0.01279388;0.01102466;0.00887628;0.00733014;0.00931772;0.00780844
